Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,138.630005,149.800003,128.100006,143.000000,143.000000,51217300
2020-12-03,143.500000,159.110001,143.009995,157.259995,157.259995,38656500
2020-12-04,157.589996,157.820007,148.509995,152.520004,152.520004,27704800
2020-12-07,155.029999,163.979996,152.970001,159.520004,159.520004,31409800
2020-12-08,165.750000,170.509995,164.300003,169.860001,169.860001,27738700
2020-12-09,170.199997,170.800003,147.199997,156.589996,156.589996,40951700
2020-12-10,151.130005,159.500000,148.009995,155.690002,155.690002,22060000
2020-12-11,159.699997,163.750000,155.889999,156.929993,156.929993,22069900
2020-12-14,163.399994,163.761002,152.561005,155.070007,155.070007,22467700
2020-12-15,157.000000,157.279999,142.460007,147.220001,147.220001,36451300
2020-12-16,137.750000,141.334000,134.309998,137.029999,137.029999,28476300
2020-12-17,137.919998,146.970001,137.300003,144.000000,144.000000,32404500
2020-12-18,141.509995,145.000000,135.059998,140.229996,140.229996,33157800
2020-12-21,140.839996,147.259995,137.789993,138.300003,138.300003,23921000
2020-12-22,139.000000,141.399994,123.000000,125.879997,125.879997,36035800
2020-12-23,120.050003,132.000000,115.000000,130.339996,130.339996,41905000
2020-12-24,125.940002,129.699997,122.720001,123.389999,123.389999,12720600
2020-12-28,120.040001,122.879997,111.050003,111.400002,111.400002,31088200
2020-12-29,107.795998,116.250000,106.879997,114.389999,114.389999,23718800
2020-12-30,118.400002,118.941002,108.800003,111.129997,111.129997,23965500
2020-12-31,110.550003,113.550003,102.660004,104.470001,104.470001,23369900
2021-01-04,107.230003,113.629997,103.260002,111.730003,111.730003,22439600
2021-01-05,113.820000,114.980003,107.199997,109.180000,109.180000,15450800
2021-01-06,111.110001,116.930000,110.279999,116.260002,116.260002,21590900
2021-01-07,120.099998,122.820000,112.129997,115.089996,115.089996,20614100
2021-01-08,116.519997,117.709999,111.489998,112.750000,112.750000,12376900
2021-01-11,112.750000,121.239998,112.620003,117.260002,117.260002,16650600
2021-01-12,117.930000,124.910004,117.120003,124.550003,124.550003,15276200
2021-01-13,123.699997,127.580002,120.739998,124.059998,124.059998,14324600
2021-01-14,122.800003,130.979996,122.800003,129.720001,129.720001,13346700
2021-01-15,129.600006,133.289993,126.580002,129.649994,129.649994,15769500
2021-01-19,122.099998,126.360001,120.500000,125.010002,125.010002,16528900
2021-01-20,124.510002,126.010002,122.250000,125.139999,125.139999,8001600
2021-01-21,125.279999,137.000000,125.250000,132.979996,132.979996,20880800
2021-01-22,132.500000,135.869995,128.899994,131.020004,131.020004,10067200
2021-01-25,138.399994,147.429993,137.250000,147.000000,147.000000,26970900
2021-01-26,145.149994,154.550003,145.000000,151.929993,151.929993,16964700
2021-01-27,151.199997,164.550003,149.000000,155.729996,155.729996,20262900
2021-01-28,154.104996,168.000000,153.619995,159.550003,159.550003,16497400
2021-01-29,174.990005,185.979996,166.199997,173.160004,173.160004,39687300
2021-02-01,173.029999,174.500000,154.300003,157.479996,157.479996,22056500
2021-02-02,158.520004,159.054001,147.100006,158.580002,158.580002,14923900
2021-02-03,156.600006,168.389999,156.399994,165.860001,165.860001,11355900
2021-02-04,166.419998,173.729996,164.250000,173.309998,173.309998,10618300
2021-02-05,170.990005,177.500000,170.259995,176.240005,176.240005,8990000
2021-02-08,177.000000,189.259995,176.809998,185.979996,185.979996,12927400
2021-02-09,186.210007,187.000000,177.270004,179.520004,179.520004,8403100
2021-02-10,182.740005,185.220001,176.369995,179.339996,179.339996,7067500
2021-02-11,178.289993,184.220001,176.199997,183.440002,183.440002,5464100
2021-02-12,184.889999,185.000000,177.580002,183.740005,183.740005,5705500
2021-02-16,182.410004,184.179993,173.509003,178.529999,178.529999,6917500
2021-02-17,174.279999,178.009995,171.619995,176.759995,176.759995,6554600
2021-02-18,171.593002,175.470001,168.000000,169.570007,169.570007,5124100
2021-02-19,173.539993,179.300003,170.529999,174.740005,174.740005,6413600
2021-02-22,167.800003,170.350006,158.580002,159.369995,159.369995,11152700
2021-02-23,151.250000,153.000000,136.000000,150.169998,150.169998,15509200
2021-02-24,150.410004,151.000000,143.470001,144.789993,144.789993,9757200
2021-02-25,150.779999,160.979996,145.860001,148.380005,148.380005,15172100
2021-02-26,157.979996,159.600006,150.880005,154.809998,154.809998,13445200
2021-03-01,154.462997,157.779999,145.250000,157.399994,157.399994,15351600
2021-03-02,153.500000,154.470993,146.440002,146.809998,146.809998,8630600
2021-03-03,146.089996,147.320007,131.000000,131.220001,131.220001,13683500
2021-03-04,128.699997,135.470001,126.690002,132.300003,132.300003,10929500
2021-03-05,133.072998,134.270004,121.120003,132.190002,132.190002,12039600
2021-03-08,129.149994,133.550003,122.480003,123.470001,123.470001,6839300
2021-03-09,127.110001,132.300003,125.599998,130.869995,130.869995,7834200
2021-03-10,133.619995,135.714996,128.792999,129.750000,129.750000,5555900
2021-03-11,132.981995,140.850006,131.479996,140.470001,140.470001,8140100
2021-03-12,134.039993,138.742004,133.199997,136.990005,136.990005,4923100
2021-03-15,136.770004,143.850006,135.009995,143.660004,143.660004,7321700
2021-03-16,148.500000,157.750000,145.839996,156.020004,156.020004,16991600
2021-03-17,150.250000,152.082993,143.250000,147.550003,147.550003,12894900
2021-03-18,144.449997,147.610001,140.860001,141.460007,141.460007,7135600
2021-03-19,143.059998,145.179993,138.529999,143.740005,143.740005,6933700
2021-03-22,144.190002,147.919998,141.850006,145.600006,145.600006,6050700
2021-03-23,145.610001,146.190002,136.380005,136.520004,136.520004,6961200
2021-03-24,137.250000,137.740005,131.009995,131.610001,131.610001,5864600
2021-03-25,127.330002,134.309998,126.419998,133.330002,133.330002,5696300
2021-03-26,133.380005,135.600006,128.020004,133.279999,133.279999,4047100
2021-03-29,130.110001,131.300003,121.900002,123.419998,123.419998,10814800
2021-03-30,123.150002,123.598000,117.341003,118.489998,118.489998,11061600
2021-03-31,121.099998,131.800003,119.328003,130.949997,130.949997,10015700
2021-04-01,132.199997,136.636993,130.339996,132.550003,132.550003,7269700
2021-04-05,132.600006,133.192993,127.040001,129.910004,129.910004,5218300
2021-04-06,130.110001,138.248993,128.160004,133.529999,133.529999,7438200
2021-04-07,132.369995,135.160004,130.210007,131.470001,131.470001,4380000
2021-04-08,132.850006,135.899994,132.059998,133.880005,133.880005,4530000
2021-04-09,133.509995,144.000000,133.339996,140.919998,140.919998,9918200
2021-04-12,142.369995,143.490005,136.360001,139.399994,139.399994,6060200
2021-04-13,146.800003,152.110001,145.350006,149.710007,149.710007,13729000
2021-04-14,153.660004,160.919998,152.490005,160.029999,160.029999,15389800
2021-04-15,159.000000,163.580002,155.229996,159.869995,159.869995,10340400
2021-04-16,158.679993,171.919998,158.210007,170.809998,170.809998,19044900
2021-04-19,166.610001,168.195999,159.600006,161.910004,161.910004,10006600
2021-04-20,160.320007,162.729996,153.270004,156.779999,156.779999,7154400
2021-04-21,158.600006,170.110001,157.690002,169.500000,169.500000,11352700
2021-04-22,168.259995,179.000000,164.619995,168.100006,168.100006,15922400
2021-04-23,170.304993,175.509995,168.350006,173.630005,173.630005,8791000
2021-04-26,171.789993,179.600006,168.880005,177.610001,177.610001,12201700
2021-04-27,178.360001,185.529999,178.179993,183.410004,183.410004,12925700
2021-04-28,182.369995,182.889999,176.119995,178.679993,178.679993,8375400
2021-04-29,183.326996,186.800003,174.759995,175.669998,175.669998,8362700
2021-04-30,175.589996,184.000000,174.520004,178.820007,178.820007,9495200
2021-05-03,183.899994,189.000000,182.210007,186.020004,186.020004,14631000
2021-05-04,185.335007,188.490005,171.630005,173.589996,173.589996,16924200
2021-05-05,178.100006,180.699997,156.809998,162.839996,162.839996,18914200
2021-05-06,148.000000,163.470001,143.559998,160.500000,160.500000,29662300
2021-05-07,165.779999,169.020004,160.815994,163.149994,163.149994,11952600
2021-05-10,164.009995,164.759995,155.710007,158.550003,158.550003,8809700
2021-05-11,151.309998,161.990005,150.059998,158.990005,158.990005,8087400
2021-05-12,154.110001,158.910004,151.149994,152.679993,152.679993,5720800
2021-05-13,152.600006,155.619995,146.850006,149.869995,149.869995,5765000
2021-05-14,150.850006,162.460007,150.399994,161.380005,161.380005,6512900
2021-05-17,159.000000,163.369995,156.723999,160.429993,160.429993,4231600
2021-05-18,160.160004,165.750000,157.899994,159.529999,159.529999,4811400
2021-05-19,155.740005,160.070007,154.509995,157.990005,157.990005,3943700
2021-05-20,159.919998,166.809998,158.889999,165.970001,165.970001,4826300
2021-05-21,168.929993,169.279999,161.350006,161.449997,161.449997,5169100
2021-05-24,162.880997,166.800003,161.009995,164.169998,164.169998,4501300
2021-05-25,166.559998,171.740005,165.100006,169.259995,169.259995,7759900
2021-05-26,168.699997,175.619995,168.509995,175.589996,175.589996,6885200
2021-05-27,174.199997,180.000000,173.630005,179.539993,179.539993,10844900
2021-05-28,178.623001,186.639999,178.360001,185.009995,185.009995,8567200
2021-06-01,184.080002,185.279007,178.800003,184.660004,184.660004,6010900
2021-06-02,183.899994,194.500000,183.279999,191.600006,191.600006,10142500
2021-06-03,188.889999,200.000000,188.632996,195.220001,195.220001,9270200
2021-06-04,197.899994,207.380005,197.330002,206.070007,206.070007,11103300
2021-06-07,207.102997,227.710007,206.419998,219.570007,219.570007,19034400
2021-06-08,220.100006,222.345001,202.500000,213.000000,213.000000,11857600
2021-06-09,212.300003,221.500000,212.009995,217.440002,217.440002,8016500
2021-06-10,216.619995,221.880005,207.699997,217.000000,217.000000,11763100
2021-06-11,211.899994,218.899994,211.800003,218.850006,218.850006,5576000
2021-06-14,213.272995,213.490005,198.000000,207.410004,207.410004,11743700
2021-06-15,203.490005,207.850006,199.199997,201.589996,201.589996,6786300
2021-06-16,200.000000,203.979996,193.201996,197.839996,197.839996,7264700
2021-06-17,200.000000,203.921997,197.720001,202.470001,202.470001,4955200
2021-06-18,201.393005,204.839996,194.509995,199.190002,199.190002,6663800
2021-06-21,200.860001,211.039993,200.000000,208.240005,208.240005,7423100
2021-06-22,210.759995,222.404999,210.250000,221.360001,221.360001,10066300
2021-06-23,219.979996,224.570007,205.550003,212.039993,212.039993,14558400
2021-06-24,214.380005,221.490005,213.460007,220.139999,220.139999,8171900
2021-06-25,221.259995,226.509995,216.330002,219.940002,219.940002,13315600
2021-06-28,223.000000,225.091003,215.600006,222.940002,222.940002,6190600
2021-06-29,221.190002,238.399994,219.330002,234.460007,234.460007,11417000
2021-06-30,237.979996,245.699997,232.410004,234.979996,234.979996,9319100
2021-07-01,236.300003,236.710007,227.669998,235.110001,235.110001,5927500
2021-07-02,235.100006,238.899994,230.139999,234.300003,234.300003,4197800
2021-07-06,229.619995,234.600006,225.429993,233.339996,233.339996,4956500
2021-07-07,231.759995,231.860001,220.820007,221.899994,221.899994,4889300
2021-07-08,215.660004,233.410004,214.070007,232.789993,232.789993,8719400
2021-07-09,231.964996,233.800003,224.279999,232.809998,232.809998,5305100
2021-07-12,230.979996,242.389008,229.199997,239.339996,239.339996,6938200
2021-07-13,239.139999,239.820007,233.800995,235.149994,235.149994,4186400
2021-07-14,237.244995,249.919998,237.220001,246.660004,246.660004,9420400
2021-07-15,246.660004,261.220001,245.505005,259.674988,259.674988,15130800
